556, 24, 578, 31, "From"
552, 34, 634, 88, "£6"
611, 92, 631, 102, "/day"
39, 110, 100, 126, "Bulgaria"
36, 135, 101, 152, "£10/day"
53, 185, 84, 200, "Italy"
35, 210, 101, 227, "£16/day"
161, 186, 190, 198, "USA"
143, 211, 208, 228, "£16/day"
43, 259, 95, 271, "Austria"
38, 284, 103, 301, "£21/day"
153, 259, 201, 271, "France"
144, 284, 210, 301, "£22/day"
26, 335, 115, 347, "Switzerland"
35, 360, 100, 376, "£25/day"
149, 335, 205, 347, "Canada"
145, 360, 210, 377, "£25/day"
525, 356, 570, 371, "Book"
578, 357, 617, 371, "Now"
626, 359, 637, 371, ">"
