99, 20, 129, 30, "Mike"
136, 20, 176, 30, "Wants"
182, 20, 210, 30, "You!"
99, 38, 123, 45, "Pixar"
129, 38, 135, 45, "is"
140, 38, 171, 47, "always"
176, 37, 209, 47, "looking"
99, 50, 110, 57, "for"
116, 52, 133, 58, "new"
139, 50, 169, 58, "talent!"
175, 49, 203, 58, "Check"
208, 51, 222, 57, "out"
98, 64, 113, 70, "our"
118, 61, 143, 70, "latest"
148, 62, 180, 70, "Career"
186, 62, 224, 71, "Listings."
364, 21, 379, 33, "Up"
386, 21, 411, 31, "Web"
418, 21, 441, 31, "Site"
568, 20, 609, 32, "Partly"
618, 20, 664, 32, "Cloudy"
366, 39, 385, 46, "Visit"
390, 39, 403, 46, "the"
407, 39, 437, 47, "official"
366, 51, 377, 60, "Up"
382, 51, 399, 58, "web"
404, 51, 418, 58, "site"
568, 37, 621, 46, "Experience"
626, 37, 639, 44, "the"
645, 37, 677, 46, "pitfalls"
567, 49, 575, 56, "of"
581, 49, 601, 58, "baby"
606, 49, 643, 58, "delivery"
649, 49, 655, 56, "in"
568, 61, 600, 68, "Pixar's"
605, 61, 630, 68, "latest"
635, 61, 661, 68, "short."
