130, 158, 162, 167, "STOKKE"
25, 202, 65, 211, "Stokke"
67, 203, 76, 211, "®"
81, 202, 119, 214, "Xplory"
121, 203, 130, 211, "®"
135, 202, 140, 211, "3"
147, 202, 156, 211, "In"
163, 202, 166, 211, "1"
25, 219, 52, 228, "With"
59, 219, 110, 231, "Carrycot"
117, 225, 119, 225, "-"
126, 219, 161, 228, "Green"
168, 219, 196, 231, "Grey"
25, 247, 48, 257, "Was"
55, 247, 102, 256, "£663.97"
150, 252, 166, 259, "50%"
171, 252, 185, 259, "Off"
26, 265, 63, 277, "NOW"
71, 265, 131, 277, "£331.99"
