39, 28, 282, 58, "stayLiverpool.com"
107, 326, 111, 338, "1"
120, 326, 151, 339, "Bed"
158, 326, 195, 343, "Apts"
357, 326, 365, 339, "2"
374, 326, 405, 339, "Bed"
412, 326, 448, 343, "Apts"
100, 361, 139, 375, "from"
147, 354, 196, 376, "£55"
353, 361, 391, 375, "from"
399, 355, 447, 376, "£65"
85, 387, 108, 398, "per"
114, 383, 150, 399, "night"
156, 383, 204, 398, "(sleeps"
210, 384, 222, 398, "3)"
337, 387, 360, 398, "per"
366, 383, 402, 399, "night"
408, 383, 456, 399, "(sleeps"
463, 384, 474, 397, "5)"
42, 431, 126, 443, "RECEPTION"
133, 431, 167, 443, "24/7"
196, 432, 227, 442, "SKY"
236, 432, 303, 442, "SPORTS"
337, 432, 376, 442, "WiFi"
417, 432, 449, 442, "Book"
457, 434, 485, 442, "now"
493, 433, 506, 441, ">>"
