35, 14, 239, 32, "careers.computer.org"
10, 53, 116, 67, "EMPLOYERS"
10, 76, 53, 85, "REACH"
60, 76, 95, 85, "OVER"
101, 76, 149, 87, "125,000"
9, 92, 81, 101, "COMPUTER"
10, 108, 113, 117, "PROFESSIONALS"
85, 142, 120, 155, "JOB"
129, 142, 201, 155, "SEEKERS"
87, 165, 126, 174, "APPLY"
132, 165, 147, 174, "TO"
154, 165, 189, 175, "JOBS,"
88, 181, 118, 190, "POST"
124, 181, 159, 190, "YOUR"
166, 181, 218, 192, "RESUME,"
87, 197, 115, 206, "AND"
122, 197, 140, 206, "SET"
146, 197, 160, 206, "UP"
167, 197, 191, 206, "JOB"
197, 197, 240, 206, "ALERTS"
29, 229, 49, 240, "Go"
55, 230, 67, 240, "to"
74, 228, 95, 240, "the"
102, 229, 149, 240, "Career"
155, 229, 201, 240, "Center"
