6, 301, 7, 315, "1"
29, 298, 74, 306, "SWALLOW"
76, 298, 95, 306, "ONE"
97, 298, 113, 306, "TAB"
29, 309, 40, 317, "OF"
43, 310, 77, 317, "VIAGRA"
78, 310, 102, 316, "SOFT"
103, 309, 126, 317, "TABS"
178, 300, 198, 315, "2"
210, 298, 233, 306, "WAIT"
235, 298, 259, 305, "ONLY"
212, 309, 222, 317, "15"
223, 309, 264, 317, "MINUTES"
341, 301, 359, 315, "3"
373, 298, 397, 306, "LOVE"
399, 299, 419, 306, "HER"
373, 309, 390, 317, "ALL"
392, 309, 419, 317, "NIGHT"
422, 309, 449, 317, "LONG!"
