26, 31, 161, 49, "ARMOURY"
172, 31, 274, 54, "SQUARE"
102, 67, 145, 74, "FOREVER"
151, 67, 198, 73, "ARSENAL"
5, 198, 30, 202, "ARTISTS"
32, 197, 70, 203, "IMPRESSION"
16, 217, 41, 223, "FANS"
48, 217, 53, 223, "&"
61, 216, 108, 223, "LEGENDS"
115, 217, 174, 224, "TOGETHER."
182, 217, 228, 223, "FOREVER"
235, 217, 283, 223, "ARSENAL"
41, 232, 60, 238, "Your"
65, 234, 107, 240, "message,"
112, 234, 132, 240, "your"
136, 232, 160, 238, "stone"
165, 232, 172, 238, "in"
176, 232, 215, 240, "Armoury"
219, 232, 251, 240, "Square"
