33, 19, 138, 41, "Upcoming"
147, 20, 210, 36, "Events"
219, 19, 235, 36, "in"
245, 19, 309, 36, "Dublin"
37, 59, 72, 76, "Feb"
80, 60, 100, 76, "19"
204, 58, 239, 75, "Feb"
247, 59, 303, 75, "20-21"
372, 56, 407, 73, "Feb"
415, 57, 439, 73, "27"
36, 84, 79, 93, "Meteor"
84, 83, 118, 93, "Music"
123, 83, 168, 93, "Awards"
204, 83, 231, 95, "Lady"
236, 83, 268, 95, "Gaga"
274, 83, 285, 92, "at"
371, 81, 389, 90, "JLS"
37, 100, 63, 109, "RDS."
69, 99, 105, 109, "Dublin"
203, 99, 219, 108, "02"
225, 99, 264, 110, "Arena,"
270, 98, 307, 108, "Dublin"
371, 97, 387, 106, "02"
393, 97, 432, 108, "Arena,"
438, 96, 475, 106, "Dublin"
35, 118, 52, 130, ">>"
204, 119, 220, 129, ">>"
372, 119, 389, 129, ">>"
