39, 64, 74, 82, "NO"
86, 64, 287, 82, "COMPROMISES."
39, 94, 133, 112, "YOU'RE"
144, 94, 247, 112, "ONLINE."
39, 125, 85, 142, "ALL"
95, 125, 142, 142, "THE"
153, 125, 216, 142, "TIME."
39, 164, 60, 172, "Red"
67, 164, 87, 172, "Hat"
94, 164, 157, 175, "Enterprise"
164, 164, 195, 172, "Linux"
202, 164, 236, 175, "keeps"
242, 166, 268, 174, "your"
274, 164, 296, 172, "web"
303, 166, 330, 175, "apps"
337, 166, 385, 175, "running."
48, 210, 83, 217, "LEARN"
90, 210, 119, 217, "MORE"
